Dataset,level,year,subjects,recordings,scoring,age range,age,% female,BMI,AHI (>=3% oxygen desaturation if not noted differently),ArI (arousals/h),PLM index (PLM/h),ESS,PHQ-8/PHQ-9,SF-36 (physical),SF-36 (mental),FSS (fatigue severity scale),MEQ (morningness-eveningness questionnaire),GAD-7 (general anxiety disorder questionnaire),FOSQ (Functional Outcomes of Sleep Questionnaire),ISI,PSQI,WHIIRS (Women's Health Initiative Insomnia Rating Scale),SSS,STOP-BANG,SAQLI (Calgary Sleep Apnea Quality of Life Index),Zung Self-Rating Depression Scale,PedsQL (Pediatric Quality of Life Inventory),BDI,TIB (min),TST  (min),SE (%),SOL (min),WASO (min),N1/S1 (%),N2/S2 (%),N3/(S3+S4) (%),REM (%),population,access,key reference,repo source
CNC,2,2012,199,139,AASM*,-,28.5±16.9,48.7,23.2±11.5,,,,,,,,,,,,,,,,,,,,,511.2±66.5,441.9±74.3,86.2±10.4,18.8±23.1,50.4±46.4,14.6±10.1,44.0±11.2,20.8±9.2,20.6±7.9,"Chinese Narcolepsy Cohort. 67 subjects diagnosed with T1N exhibiting clear-cut cataplexy (55 tested HLA-DQB1*06:02 positive), while the remaining 132 subjects are randomly selected population controls (15 HLA-DQB1*06:02 positive, 34 HLA negative, remaining unknown)",,10.5665/sleep.2080,
DHC,2,2017,79,83,AASM*,-,24.8±4.9,50.0,24.8±4.9,,,,,,,,,,,,,,,,,,,,,1010.9±174.0,492.4±106.6,50.4±14.5,200.2±211.9,318.1±202.4,9.4±7.7,48.9±10.4,21.4±9.2,20.3±6.1,"Danish Hypersomnia Cohort. healthy controls (19 subjects), patients with other sleep disorders and excessive daytime sleepiness (20 patients with CSF hypocretin-1 ≥110 pg/ml), narcolepsy type 2 (22 patients with CSF hypocretin-1 ≥110 pg/ml), and T1N (28 patients with CSF hypocretin-1 ≤110 pg/ml)",,10.1016/j.sleep.2016.10.016,
FHC,2,-,121,68,-,-,24.4±8.1,41.0,24.4±8.1,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,"French Hypersomnia Cohort. 63 subjects with T1N (all but two tested with CSF hypocretin-1 ≤110 pg/ml, five below 18 years old, 55 tested for HLA, all positive for HLA-DQB1*06:02) and 22 narcolepsy type 2 (19 with CSF hypocretin-1 >200 pg/ml, and three subjects with CSF hypocretin-1 between 110 and 200 pg/ml, three HLA positive). The remaining 36 subjects are controls (15 tested for HLA, two with DQB1*06:02) without other symptoms of hypersomnia.",,,
IHC,2,2017,148,148,-,-,33.7±17.6,43.3,-,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,"Italian Hypersomnia Cohort. 70 T1N patients (58% male, 29.5 ± 1.9 years old), with either documented low CSF hypocretin levels (59 cases, all but 2 HLA-DQB1*06:02 positive) or clear cataplexy, positive MSLTs and HLA positivity (11 subjects). As non-T1N cases with unexplained daytime somnolence, the cohort includes 77 other patients: 19 with idiopathic hypersomnia, 7 with type 2 narcolepsy and normal CSF hypocretin-1, 48 with a subjective complaint of excessive daytime sleepiness not confirmed by MSLT and 3 with secondary hypersomnia.",,10.1016/j.sleep.2016.10.016,
IS-RC,2,2013,70,70,-,-,32.9±9.2,100,32.9±9.2,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,Inter-scorer Reliability Cohort. 70 subjects scored by 6 technicians in different laboratories,,10.5665/sleep.2550,
KHC,2,2006,160,158,-,-,24.1±4.3,41.4,24.1±4.3,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,Korean Hypersomnia Cohort. 160 patients with a primary complaint of excessive daytime sleepiness,,"10.1001/jamaneurol.2013.1589, 10.1093/sleep/29.11.1429",
SSC,2,2013,894,772,AASM*,-,23.9±6.5,40.6,23.9±6.5,,,,,,,,,,,,,,,,,,,,,534.0±63.6,367.2±70.6,69.2±12.9,92.6±58.8,73.7±53.2,11.6±9.4,62.9±12.0,9.1±9.2,16.4±6.8,Stanford Sleep Cohort. ,,"10.1001/jamaneurol.2013.1589, 10.1371/journal.pone.0114565",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motion and heart rate from a wrist-worn wearable,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MrOS,1,"2003-2005, 2009-2012",2911,3930,AASM,67-90,77.6 pm 5.6,0,27.2±3.9,18.3 pm 15.9,23.3±12.0,4.0±5.8,6.4 pm 3.8,-,-,-,-,-,-,18.7±1.7,4.9±4.3,5.6±3.2,-,-,-,-,-,-,-,600.1 pm 90.8*,351.8 pm 72.5,59.3 pm 12.1*,125.4 pm 74.5*,122.9 pm 75.0*,8.2 pm 6.5,62.8 pm 10.8,10.0 pm 8.8,19.0 pm 7.0,community-dwelling (not clinical) population,upon request,10.1111/j.1532-5415.2011.03731.x,10.25822/KC27-0425
visit1,2,2003-2005,2911,2904,AASM,67-90,76.4±5.5,0,27.2±3.9,18.3 pm 15.9,23.3±12.0,4.0±5.8,6.2±3.7,-,-,-,-,-,-,18.7±1.7,-,5.6 pm 3.3,-,-,-,-,-,-,-,593.4 pm 86.8*,355.0 pm 70.2,60.4 pm 11.7*,119.4 pm 69.7*,119.0 pm 72.9*,6.8 pm 4.6,62.9 pm 10.4,11.2 pm 9.1,19.0 pm 6.8,,,,
visit2,2,2009-2012,1026,1026,AASM,73-90,81.0 pm 4.4,0,-,-,-,-,6.9 pm 3.9,-,-,-,-,-,-,-,4.9±4.3,5.5 pm 3.1,-,-,-,-,-,-,-,619.1 pm 98.7*,342.6 pm 78.0,56.1 pm 12.9*,142.4 pm 84.4*,134.1 pm 79.6*,12.2 pm 9.0,62.4 pm 11.8,6.6 pm 7.0,18.8 pm 7.5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSP,1,2021,106,106,AASM,18-42,26.9±5.9,100,39.2±6.2,5.9±10.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,476.1±40.4,343.6±74.7,72.1±15.5,46.0±48.1,86.5±56.6,6.9±4.6,61.3±11.2,16.9±9.5,15.0±6.0,"pregnant women with obesity, BMI >= 30",upon request,"10.1002/dev.22118,10.1016/j.ajog.2022.09.037",10.25822/GC7Q-G526
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWT,1,2019,76,76,BERN (wake/sleep),18-81,45.6,34.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,36.5±7.7,1.7±3.2,6.3±12.0,31.9±11.6,2.9±5.3,-,-,-,-,"patients suspected of having excessive daytime sleepiness (EDS) who were undergoing routine MWT as part of their clinical workup. The suspected diagnoses spanned a wide range: sleep apnea, narcolepsy, idiopathic hypersomnia, non-organic hypersomnia, insomnia, EDS with unclear cause, excessive tiredness, and other conditions",public,"10.1093/sleep/zsz163,10.1093/sleep/zsz225",10.5281/ZENODO.3251716
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCHSDB,1,2017-2019,3672,3982,AASM,0-58,8.8±5.9,43.7,22.7±9.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,464.4 pm 60.2,380.2 pm 85.8,81.2 pm 16.4,24.7 pm 32.9,58.5 pm 58.3,4.5 pm 4.5,46.2 pm 13.5,29.7 pm 11.9,19.6 pm 8.5,clinical population suspected of sleep-related problems,upon request,10.1038/s41597-022-01545-6,10.25822/JPDR-VZ50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physio2018,1,2018,1983,1983,AASM*,-,55±14.4,35.0,33.0±7.6,19.0±14.4,-,-,8.6±5.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,450.6±43.3,364. 0±69.0,80.7±13.2,21.7±23.4,65.0±50.5,19.8±14.3,51.0±13.1,13.9±9.9,15.3±8.7,clinical population suspected of sleep-related problems,public,10.22489/CinC.2018.049,10.13026/1Q9B-GE17
test,2,2018,989,989,-,-,55±14.3,37.0,33.0 pm 7.5,19.0 pm 14.6,-,-,8.5 pm 5.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
training,2,2018,994,994,AASM,-,55±14.4,33.0,33.0 pm 7.8,18.9 pm 14.4,-,-,8.7 pm 5.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,450.6±43.3,364. 0±69.0,80.7±13.2,21.7±23.4,65.0±50.5,19.8±14.3,51.0±13.1,13.9±9.9,15.3±8.7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSG-IPA,1,2019,20,20,AASM,-,57,40.0,-,1.1,2.3,2.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,458.6±96.2,378.8±118.6,82.5±17.6,16.4±38.3,63.4±47.9,12.7±8.4,41.2±9.3,28.0±11.9,18.0±4.4,clinically relevant population with various sleep disorders,public,10.1371/journal.pone.0275530,10.13026/7kvm-qe34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REDSD,1,2019-2020,71,212,-,17-23,20.0±1.4,47.9,-,-,-,-,-,-,-,-,-,-,-,-,-,5.0±2.5,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,"Resting-state (eyes open, partially closed)",public,10.1038/s41597-024-03268-2,10.18112/openneuro.ds004902.v1.0.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodrigues2017,1,2017,20,20,-,19-44,25.8 pm 5.3,35%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Resting-state (eyes open, eyes closed)",public,https://hal.archives-ouvertes.fr/hal-02086581,10.5281/zenodo.2348891
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEF,1,2021,33,255,AASM,-,22.1±3.2,48.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,13.0±3.0,6.9±5.6,52.8±39.6,4.8±5.8,1.3±2.0,71.5±32.7,27.7±31.9,0.7±7.5,0.0±0.0,"healthy population, two 10-min resting-state sessions, and several 15-min sleep sessions",public,10.1016/j.neuroimage.2022.119720,10.18112/openneuro.ds003768.v1.0.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIEFERT2024,1,2024,34,34,-,19-29,20.8±2.5,58.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,community-dwelling (not clinical) population,public,10.1523/JNEUROSCI.0022-24.2024,10.18112/openneuro.ds005121.v1.0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHHS,1,"1995-1998, 2001-2003",8455,8444,R&K,39-90,65.3 pm 11.2,53.2,28.2±5.1,15.2±15.8,19.0±10.6,-,7.6±4.3,-,46.7±10.3,53.8±8.1,-,-,-,11.5±0.8,-,-,-,-,-,6.0±0.8,-,-,-,497.6 pm 70.8,361.6 pm 70.5,72.9 pm 13.1,42.8 pm 42.3,93.2 pm 67.3,5.5 pm 4.3,57.8 pm 12.9,17.0 pm 11.8,19.7 pm 7.0,"community-based, general population cohort: Age-enriched, Snorer oversampling, Predominantly white, Prevalent CVD not excluded",upon request,10.1093/sleep/20.12.1077,10.25822/GHY8-KS59
SHHS1,2,1995-1998,5804,5793,R&K,39-90,63.1±11.2,52.3,28.2±5.1,14.6 pm 15.6,19.2 pm 10.7,,7.8 pm 4.4,-,47.4 pm 9.9,53.3 pm 8.2,-,-,-,-,-,-,-,-,-,-,-,-,-,478.8 pm 60.4,357.1 pm 69.9,74.5 pm 12.7,49.4 pm 43.6,72.3 pm 51.9,5.3 pm 4.1,57.6 pm 13.3,17.7 pm 12.1,19.4 pm 7.0,,,,
SHHS2,2,2001-2003,2651,2651,R&K,44-90,68.3 pm 10.5,54.4*,28.3 pm 5.1,16.5 pm 16.0,18.4 pm 10.2,,7.3 pm 4.2,-,45.7 pm 10.8,54.5 pm 7.9,-,-,-,11.5±0.8,-,-,-,-,-,6.0±0.8,-,-,-,538.5±74.4,371. pm 70.7,69.6 pm 13.2,28.3 pm 35.0,138.8 pm 74.4,5.8 pm 4.8,58.0 pm 11.9,15.7 pm 11.0,20.6 pm 6.9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLEEPBRL,1,2018,32,32,AASM,22-67,44.2±15.4,62.5,27.1±5.9,2.4±1.4,-,19.7±22.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,510.9±73.4,408.4±84.8,80.0±12.0,33.6±38.4,69.0±52.1,6.4±3.4,47.3±6.6,22.9±6.2,23.4±6.2,"clinical/patient population: Subjects were initially referred to a sleep medicine laboratory due to suspected sleep disorders, though those with confirmed sleep-disordered breathing (SDB) or Periodic Limb Movement Disorder (PLMD) were excluded.",public,10.1109/EMBC.2016.7591321,10.13026/C29H4K
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleep-EDFX,1,"1987-1991, 1994",104,197,R&K,25-101,59±22,51.6*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,516.8±127.7,420.1±57.6,84.0±14.4,17.1±22.1,78.6±114.3,14.8±9.6,53.1±10.7,11.7±10.1,20.4±6.8,"153 recordings of healthy caucasians, 44 recordings of subjects who have mild difficulty falling asleep (temazepam vs. Placebo)",upon request,10.1109/10.867928,10.13026/C2X676
SC,2,1987-1991,82,153,R&K,25-101,25-101,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,527.8±141.9,415.9±59.8,82.0±14.9,17.7±24.6,93.2±125.2,16.2±10.0,53.5±10.9,10.2±9.8,20.1±7.0,healthy caucasians,,,
ST,2,1994,22,44,R&K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,478.5±34.3,434.9±47.0,90.8±6.6,15.0±9.7,27.7±25.8,9.8±5.9,51.7±10.0,16.9±9.4,21.6±5.9,subjects who have mild difficulty falling asleep (temazepam vs. Placebo),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOF,1,2002-2003,461,453,R&K,65-89,82.8±3.4,100,27.7±4.6,16.3±15.4,20.7±12.0,28.5±31.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,469.3±80.3,347.4±76.5,74.3±13.2,74.3±13.2,103.7±72.8,5.3±3.8,56.0±13.1,20.6±12.6,18.2±7.4,community-dwelling older women,upon request,10.1111/j.1532-5415.2007.01506.x,10.25822/e1cf-rx65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAGES,1,2018-2019,1775,1914,AASM,13-84,45.9±15.2,53.4*,31.3±8.9,-,-,-,8.6±5.4,7.1±5.8,-,-,34.4±15.9,14.5±4.0 (Horne-Ostberg),5.2±5.4,14.5±7.9,13.4±6.4,-,-,-,-,-,,,-,424.4±123.6,315.2±129.5,73.6±22.4,38.3±69.5,69.3±79.4,13.3±12.9,58.2±18.1,10.0±10.6,18.5±14.2,"special/clinical population: adult and adolescent patients who were evaluated for sleep disorders at sleep clinics, making it a help-seeking clinical cohort rather than a population-based or healthy control sample",upon request,10.1093/sleep/zsz067.321,10.25822/ME0D-XS45
BOGN,2,2018-2019,-,89,AASM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,558.1 pm 73.6*,367.2 pm 54.4,66.7 pm 12.3*,145.4 pm 71.2*,45.5 pm 38.0,8.7 pm 5.8,56.8 pm 12.7,16.1 pm 11.6,18.4 pm 10.1,,,,
GSBB,2,2018-2019,-,38,AASM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,409.4 pm 157.5,288.0 pm 126.2,69.7 pm 13.7,54.6 pm 45.2,66.6 pm 55.1,13.8 pm 10.7,66.0 pm 11.3,6.8 pm 7.2,13.4 pm 8.1,,,,
GSDV,2,2018-2019,-,294,AASM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,383.9 pm 176.6*,282.2 pm 144.4*,71.6 pm 18.8,42.2 pm 44.7,59.3 pm 53.8,12.2 pm 13.8,69.5 pm 15.0,5.1 pm 7.4,13.2 pm 9.8,,,,
GSLH,2,2018-2019,-,53,AASM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,335.8 pm 201.3*,227.4 pm 150.8*,62.2 pm 26.8,50.0 pm 69.3,57.9 pm 57.6,17.9 pm 16.4,64.1 pm 19.3,5.7 pm 8.6,12.2 pm 14.8,,,,
GSSA,2,2018-2019,-,34,AASM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,408.9 pm 149.5,305.2 pm 125.6*,75.3 pm 13.8,58.1 pm 60.4,45.6 pm 38.2,8.1 pm 11.0,72.5 pm 11.7,4.0 pm 6.7,15.5 pm 11.1,,,,
GSSW,2,2018-2019,-,132,AASM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,356.1 pm 201.8*,247.4 pm 157.9*,69.5 pm 18.2,46.5 pm 51.9,61.6 pm 68.5,12.0 pm 12.5,70.7 pm 13.7,4.0 pm 7.6,13.3 pm 11.4,,,,
MSMI,2,2018-2019,-,63,AASM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,369.6 pm 31.6,310.0 pm 55.4,84.0 pm 13.8,14.1 pm 19.7,43.3 pm 39.0,11.9 pm 10.4,60.5 pm 11.8,12.4 pm 10.6,15.2 pm 6.0,,,,
MSNF,2,2018-2019,-,40,AASM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,387.9 pm 39.9,299.8 pm 97.7,76.2 pm 23.2,43.2 pm 71.0,44.7 pm 34.5,7.2 pm 6.7,60.8 pm 13.2,17.7 pm 11.1,14.3 pm 8.0,,,,
MSQW,2,2018-2019,-,153,AASM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,380.0 pm 47.9*,298.0 pm 73.0,77.8 pm 17.0,23.7 pm 37.4,55.9 pm 45.3,17.4 pm 14.2,60.2 pm 13.3,8.4 pm 9.7,14.1 pm 7.9,,,,
MSTH,2,2018-2019,-,31,AASM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,381.3 pm 29.3,263.6 pm 122.0*,68.0 pm 30.2,64.0 pm 115.6*,53.7 pm 49.7,13.2 pm 8.7,65.2 pm 9.8,8.3 pm 7.0,13.3 pm 6.7,,,,
MSTR,2,2018-2019,-,286,AASM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,386.4 pm 38.8,284.5 pm 111.6*,72.8 pm 27.4,50.4 pm 101.1*,50.4 pm 52.3,14.4 pm 10.7,57.7 pm 10.8,12.9 pm 9.9,15.0 pm 6.9,,,,
STLK,2,2018-2019,-,173,AASM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,499.4 pm 69.4,401.7 pm 84.8,79.9 pm 14.0,16.4 pm 25.3,77.6 pm 55.0,10.4 pm 9.6,61.4 pm 14.2,9.1 pm 11.0,19.1 pm 8.8,,,,
STNF,2,2018-2019,-,528,AASM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,475.4 pm 63.7,354.4 pm 131.8,74.5 pm 25.9,17.4 pm 59.1,100.7 pm 113.2,14.6 pm 14.8,44.9 pm 19.8,12.8 pm 11.5,27.7 pm 19.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCDDB,1,2002-2003,25,25,R&K,28-68,50±9.6,16.0,31.6±4.0,24.2±20.3,-,-,11.2±6.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,408.9±31.4,321.3±56.5,78.3±10.9,27.2±22.3,60.1±37.4,22.0±14.5,43.4±13.1,16.6±8.4,18.1±8.2,suspected sleep-disordered breathing,public,-,10.13026/C26C7D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCSD,1,2024,19,19,AASM,-,Mean 23.2,78.9,-,-,-,-,-,-,-,-,-,31-69,-,-,-,-,-,-,-,-,-,-,-,518.6±51.9,434.3±65.6,83.9±10.6,31.1±21.8,50.7±40.0,10.0±7.2,46.2±8.4,23.0±6.4,20.9±6.2,healthy population for device validation,public,10.3389/frsle.2024.1349537,10.18112/openneuro.ds006695.v1.0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSC,1,2000-2015,1123,2569,R&K,29-85,53.5 pm 10.3,46.4,31.7 pm 7.2,20.0 pm 18.6,-,-,8.6 pm 4.2,-,-,-,-,62.3 pm 9.6,-,-,-,-,-,-,-,-,39.7 pm 8.2,-,,455.1 pm 63.3,360.9 pm 74.1,78.8 pm 14.2,16.8 pm 39.3,71.7 pm 43.5,10.6 pm 6.8,65.8 pm 9.4,7.5 pm 7.9,16.1 pm 6.1,"Longitudinal, observational study designed to investigate the prevalence, causes, and consequences of sleep disorders in adults. Individuals, initially free of major health conditions, and followed them through repeated overnight in-lab polysomnography.",upon request,https://pmc.ncbi.nlm.nih.gov/articles/PMC2858234/,10.25822/js0k-yh52
visit 1,2,2000-2002,1123,1123,R&K,37-82,56.4±8.1,45.9,31.7±7.1,19.6±18.9,-,-,8.9±4.3,-,-,-,-,61.6±9.8 (Modified Horne-Ostberg),-,-,-,-,-,-,-,-,40.3±8.4,-,-,456.4 pm 67.0,364.1 pm 75.6,79.1 pm 14.3,16.7 pm 38.0,69.8 pm 42.4,10.1 pm 6.8,68.8 pm 8.7,4.6±6.1,16.5±6.0,,,,
visit 2,2,2001-2015,758,758,R&K,40-81,60.1±7.5,46.3,31.8±7.3,20.9±18.6,-,-,8.6±4.1,-,-,-,-,62.4±9.5 (Modified Horne-Ostberg),-,-,-,-,-,-,-,-,39.4±8.1,-,-,446.7 pm 56.5,357.1 pm 66.7,79.5 pm 12.8,12.6 pm 20.6,70.8 pm 43.0,10.4 pm 5.8,63.0 pm 9.3,10.3±8.4,16.3±6.2,,,,
visit 3,2,2004-2015,566,565,R&K,44-81,64.3±7.1,46.3,31.7±7.4,19.8±18.4,-,-,8.1±4.0,-,-,-,-,63.0±9.6 (Modified Horne-Ostberg),-,-,-,-,-,-,-,-,39.1±7.8,-,-,458.3 pm 65.1,356.6 pm 78.7,77.3 pm 15.4,20.9 pm 53.4,76.0 pm 45.9,11.6 pm 7.6,63.9 pm 9.3,9.2±8.2,15.3±6.2,,,,
visit 4,2,2011-2015,121,121,R&K,49-85,68.4±7.1,44.6,30.6±6.6,19.6±17.2,-,-,7.1±37,-,-,-,-,63.9±8.4 (Modified Horne-Ostberg),-,-,-,-,-,-,-,-,39.6±8.1,-,-,478.9 pm 50.2,375.1 pm 79.5,78.3 pm 14.6,24.5 pm 57.3,75.0 pm 44.8,11.9±7.5,64.0 pm 8.8,9.2±9.0,14.9 pm 5.8,,,,
visit 5,2,2015,2,2,R&K,75-76,75.5±0.7,100,31.3±5.7,15.5±3.2,-,-,8.5±4.9,-,-,-,-,65.0±8.5 (Modified Horne-Ostberg),-,-,-,-,-,-,-,-,38.1±11.5,-,-,536.0 pm 71.4,422.3±8.8,79.3±8.9,15.2±2.5,94.2 pm 71.1,6.1±2.8,67.5 pm 1.9,10.6±14.7,15.8±10.0,,,,
