Dataset,level,year,subjects,recordings,scoring,age range,age,% female,BMI,AHI (>=3% oxygen desaturation if not noted differently),ArI (arousals/h),PLM index (PLM/h),ESS,PHQ-8/PHQ-9,SF-36 (physical),SF-36 (mental),FSS (fatigue severity scale),MEQ (morningness-eveningness questionnaire),GAD-7 (general anxiety disorder questionnaire),FOSQ (Functional Outcomes of Sleep Questionnaire),ISI,PSQI,WHIIRS (Women's Health Initiative Insomnia Rating Scale),SSS,STOP-BANG,SAQLI (Calgary Sleep Apnea Quality of Life Index),Zung Self-Rating Depression Scale,PedsQL (Pediatric Quality of Life Inventory),BDI,TIB (min),TST  (min),SE (%),SOL (min),WASO (min),N1/S1 (%),N2/S2 (%),N3/(S3+S4) (%),REM (%),population,access,key reference,repo source
BOAS,1,2024,128,128,AASM,18-82,42.0±19.0,59.4,23.9±3.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,459.0±59.4,391.0±68.8,84.8±9.8,34.3±29.1,33.8±34.3,4.6±3.4,71.8±7.5,5.3±7.0,18.3±5.8,general population,public,-,10.18112/openneuro.ds005555.v1.1.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPSLPDB,1,2012,108,108,R&K,14-82,49.2±19.7,38.9,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,,-,,,-,550.1±100.1,401.1±106.9,74.2±20.4,79.6±106.6,52.3±49.8,5.7±5.7,44.5±10.2,28.9±9.6,20.9±6.7,"mixed population: 16 healthy subjects, 92 pathological recordings: 40 nocturnal frontal lobe epilepsy (NFLE), 22 REM behavior disorder (RBD), 10 periodic leg movements (PLM), 9 insomnia, 5 narcolepsy, 4 sleep-disordered breathing (SDB), 2 bruxism",public,10.1016/S1389-9457(01)00149-6,10.13026/C2VC79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCSHS,1,2006-2010,517,515,AASM,16-19,17.7±0.4,49.5,25.1±5.9,1.5±4.8,8.7±3.7,0.4±2.6,7.6±3.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,538.1±65.5,452.1±76.0,83.±13.5,27.9±51.0,58.1±46.7,4.0±2.7,52.2±7.6,22.7±8.4,21.1±5.6,"46% preterm, 35.7% black or african american, 16.4% BMI >30",upon request,10.1067/mpd.2003.28,10.25822/CG2N-4Y91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFS,1,1990-2006,735,730,R&K,7-78,43.3±19.9,55.2,32.4±9.5,13.2±20.4,15.5±10.0,8.1±17.9,8.7±4.9,-,-,-,-,-,-,17.6±2.6,-,-,-,-,-,-,-,-,-,521.2±92.7,362.6±74.0,70.8±15.2,79.9±81.2,78.6±63.1,5.1±4.8,56.7±13.6,19.9±13.4,18.4±7.7,"diagnosed sleep apnea (RDI>=20), mean BMI 32.4, 46% african american",upon request,10.1164/ajrccm/151.3_Pt_1.682,10.25822/JMYX-MZ90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAT,1,2007-2012,464,1639,AASM,5-10.5,7.3±1.4,51.7,19.3±5.0,5.5±6.8,8.2±3.6,16.7±30.0,6.7 pm 4.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80.0 pm 15.4,-,586.3±77.0,453.9±55.1,78.2±10.2,87.4±63.0*,45.1±39.5,8.2±4.1,42.2±8.4,31.4±8.2,18.2±4.4,mild to moderate OSA,upon request,10.1056/NEJMoa1215881,10.25822/D68D-8G03
baseline,2,2007-2012,464,453,AASM,5-10,7.0±1.4,51.7,19.0±4.9,6.8±5.8,8.5±3.1,15.3±29.4,7.3 pm 4.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78.6 pm 15.5,-,601.9±77.2,455.8±53.3,76.5±10.1,96.2±65.6*,49.9±44.3,8.7±4.1,41.0±8.4,32.0±8.3,18.4±4.3,,,,
