Dataset,,year,subjects,recordings,scoring,age range,gender (m/f),BMI,AHI,ArI (arousals/h),PLM index (PLM/h),ESS,PHQ-8/PHQ-9,SF-36 (physical comp),SF-36 (mental comp),FSS (fatigue severity scale),MEQ (morningness-eveningness questionnaire),GAD-7 (general anxiety disorder questionnaire),FOSQ (Functional Outcomes of Sleep Questionnaire),ISI,PSQI,WHIIRS (Women's Health Initiative Insomnia Rating Scale),SSS,STOP-BANG,SAQLI (Calgary Sleep Apnea Quality of Life Index),BDI,TIB (min),TST  (min),SE (%),SOL (min),WASO (min),N1/S1 (%),N2/S2 (%),N3/(S3+S4) (%),REM (%)
EESM19,,2019,20,80,"AASM (80/200 have full PSG, therefore only those have scoring)",23-36 (mean 25.9),7/13,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,<=1,-,-,445.2 pm 55.8,401.3 pm 72.7,90.3 pm 12.1,10.0 pm 9.2,17.8 pm 24.4,8.6 pm 3.3,49.8 pm 7.1,20.7 pm 7.5,20.9 pm 4.4
EESM23,,2023,10,120,"AASM (20/140 have full PSG, therefore only those have scoring)",22-35 (mean 27.4),6/4,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,431.0 pm 74.3,374.4 pm 73.8,86.9 pm 10.8,14.6 pm 17.3,21.2 pm 18.7,9.3 pm 3.6,52.0 pm 4.6,17.2 pm 5.9,21.6 pm 5.8
FDCSR (concats recordings?),,2000-2016,28,868,R&K,20-34,13/15,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,470.2 pm 171.7,309.4 pm 197.2,66.1 pm 34.8,63.9 pm 114.9,92.4 pm 129.5,19.4 pm 29.9,44.3 pm 18.2,15.5 pm 12.3,20.7 pm 11.8
HEARTBEAT,,2010-2012,318,591,no sleep scoring,45-76 (63 pm 7.3),234/84,34.4 pm 6.4,25.1 pm 8.4,-,-,8.9 pm 3.6,5.5 pm 5.0,43.5 pm 9.6,50.7 pm 11.2,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HMC,,2018,151,151,AASM,53.9 pm 15.4,85/66,-,14.6 pm 16.9,19.9 pm 15.2,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,456 pm 96,378 pm 90,83.0 pm 14.0,-,-,-,-,-,-
HomePAP,,2008-2010,197,414,AASM,46.5 pm 11.9,255/148,37.2 pm 8.9,27.1 pm 27.7,-,-,14.1 pm 3.7,-,45.5 pm 9.8,47.4 pm 11.2,-,-,-,16.2 pm 3.0,-,,-,-,-,4.0 pm 1.0,-,-,335.3 pm 126.2,-,-,-,24.1 pm 16.5,-,-,7.4 pm 8.3
ISRUC,,2009-2013,100+8+10,100+16+10,AASM,"20-85 (49.6 pm 16.4), subgroups: 20-85 (mean 51) + 26-79 (mean 46.9) + 30-58 (mean 40)",55/45+6/2+9/1,29.5 pm 5.5 + 29.4 pm 5.7 + 27.1 pm 1.8 (data not available for all channels),14.6 pm 14.5,16.9 pm 9.1,6.2 pm 20.8,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,450,344,-,-,-,15.1 + 18.0 + 16.7,42.9 + 41.0 + 38.5,24.5 + 22.7 + 28.3,17.6 + 18.3 + 16.5
MESA,,2010-2012,2237,2237,AASM,54-90 (69.6 pm 9.2),1039/1198,28.7 pm 5.6,24.1 pm 19.6,22.3 pm 12.2,8.8 pm 19.7,6.0 pm 4.1,-,-,-,-,17.3 pm 3.8 (Modified Horne-Ostberg ),-,-,-,,7.4 pm 4.5,-,-,-,-,477.1 pm 82.5,359.8 pm 82.6,75.7 pm 13.5,45.5 pm 41.4,94.5 pm 65.3,14.4 pm 9.2,57.6 pm 10.3,10.0 pm 9.0,18.0 pm 6.7
MIT-BIH,,1999,16,19,R&K,16/0,32-56 (mean 43),weight: 89-152 (mean 119)kg,41.6 pm 24.8,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,329.3 pm 58.0,216.9 pm 67.7,65.2 pm 14.1,11.4 pm 14.9,99.1 pm 39.2,29.1 pm 24.0,52.3 pm 25.5,10.8 pm 10.0,7.8 pm 6.1
MNC,,1988-2018,,1438,(929/1438 recordings have scoring),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MrOS,,"2003-2005, 2009-2012",2909,3930,AASM,67-90 (76.4 pm 5.5),2909/0,27.2 pm 3.9,21.1 pm 16.4,23.3 pm 12.2,4.0 pm 5.8,6.2 pm 3.7,-,-,-,-,-,-,18.7 pm 1.7,4.9 pm 4.3,5.6 pm 3.2,-,-,-,-,-,-,355.5 pm 69.4,76.0 pm 12.0,-,115.5 pm 66.7,7 pm 4,63 pm 10,11 pm 9,19 pm 6
MSP,,2021,106,106,AASM,18-42 (26.9 pm 5.9),0/106,39.2 pm 6.2,5.9 pm 10.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,476.1 pm 40.4,343.6 pm 74.7,72.1 pm 15.5,46.0 pm 48.1,86.5 pm 56.6,6.9 pm 4.6,61.3 pm 11.2,16.9 pm 9.5,15.0 pm 6.0
MWT,,2019,76,76,BERN,18-81.3 (mean 45.6),50/26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NCHSDB,,2017-2019,3672,3982,AASM,0-58 (8.8 pm 5.9),2068/1604,22.7 pm 9.9,tbe,tbe,tbe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,450 pm 54,-,-,-,-,-,-,-
Physio2018,,2018,1983,1983,AASM (stages are only available for 994/1983 files),55 pm 14.4,65% male,33 pm 7.6,19 pm 14.4,"todo (+1: Designates arousal regions, 0: Designates non-arousal regions, -1 ignore)",-,8.6 pm 5.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,462.2 pm 39.6,364. 0 pm 69.0,78.7 pm 13.3,21.7 pm 23.4,65.3 pm 50.5,19.8 pm 14.3,51.0 pm 13.1,13.9 pm 9.9,15.3 pm 8.7
SHHS,,"1995-1998, 2001-2003",5804,5793 + 2651,R&K,39-90 (63.1 pm 11.2),2765/3039 + 1861/2219 (visit 2: 231 sex not reported),28.2 pm 5.1,15.4 pm 15.8,19.0 pm 10.6,-,7.6 pm 4.3,-,47.9 pm 10.3,53.8 pm 8.1,-,-,-,11.5 pm 0.8,-,-,-,-,-,6.0 pm 0.8,-,451.6 pm 66.9,365.7 pm 67.0,81.3 pm 11.2,16.7 pm 24.2 (may be poor defined),69.2 pm 49.7,5.6 pm 3.9,57.0 pm 11.5,17.3 pm 11.6,20.2 pm 6.4
SLEEPBRL,,2018,32,32,AASM,22-67 (44.2 pm 15.4),12/20,27.1 pm 5.9,2.4 pm 1.4,-,19.7 pm 22.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77.3 pm 12.5,-,-,-,-,-,18.2 pm 6.1
Sleep-EDF,,"1987-1991, 1994",122,197,R&K,25-101 (59 pm 22),59/63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SOF,,2002-2003,461,453,R&K,65-89 (82.8 pm 3.4),0/453,27.7 pm 4.6,16.3 pm 13.9,20.7 pm 12.0,28.5 pm 31.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,469.3 pm 80.3,347.4 pm 77.0,74.3 pm 13.2,74.3 pm 13.2,102.9 pm 72.3,5.3 pm 3.8,56.0 pm 13.1,20.6 pm 12.6,18.2 pm 7.4
STAGES,,2018-2019,1775,1914,AASM,13-84 (45.9 pm 15.2),824/944 (gender info not available for all),31.3 pm 8.9,-,-,-,8.6 pm 5.4,7.1 pm 5.8,-,-,34.4 pm 15.9,14.5 pm 4.0 (Horne-Ostberg),5.2 pm 5.4,14.5 pm 7.9,13.4 pm 6.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
UCDDB,,2002-2003,25,25,R&K,28-68 (50 pm 9.6),21/4,31.6 pm 4.0,24.2 pm 20.3,-,-,11.2 pm 6.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,408.9 pm 31.4,321.3 pm 56.5,78.3 pm 10.9,27.2 pm 22.3,60.1 pm 37.4,22.0 pm 14.5,43.4 pm 13.1,16.6 pm 8.4,18.1 pm 8.2
WSC,,2000-2015,1123,2569,AASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
